Method,threshold,params,ROC AUC,PR AUC,F1 score,Accuracy,Precision,Recall,TP,TN,FP,FN,Training time,Inference time
NN Archi01 (RAW + Tokenizer4500),,,0.8954485864284314,0.8957880349506028,0.8102114347959667,0.8129123517082589,0.8168908976985518,0.803640317765942,116032,120167,26009,28351,2231.321570627999,23.848579696001252
NN Archi01 (PREPROCESS02 + Tokenizer4500),,,0.8937757154763856,0.8945579989830913,0.8089126659180157,0.8114255624503113,0.8146745811527519,0.8032316824002825,115973,119794,26382,28410,1195.0129662520012,24.1958295000004
NN Archi01 (PREPROCESS01 + Tokenizer4500),,,0.8940324950743361,0.894515947374621,0.8085548477820571,0.811642385883762,0.8168209767474733,0.8004543471184281,115572,120258,25918,28811,1195.0129662520012,23.6744592569994
NN Archi01 (PREPROCESS03 + Tokenizer4500),,,0.8450238194453298,0.8380931692588934,0.764766768109214,0.7645676093323559,0.7594418871481061,0.7701668478976057,111199,110953,35223,33184,745.8878987860007,23.932139624001138
NN Archi01 (PREPROCESS03_simple + Tokenizer4500),,,0.8444878879854912,0.8370995032820112,0.7634733335408947,0.7646846251535833,0.7626686387260865,0.7642797282228517,110349,111837,34339,34034,702.9372292949993,23.920813240001735
NN Archi01 (PREPROCESS04 + Tokenizer4500),,,0.840828016655991,0.8343339982222626,0.753617665428139,0.7596873612588149,0.7681595189112201,0.7396161597972061,106788,113946,32230,37595,675.1467276479998,23.966787031997228
NN Archi01 (PREPROCESS04_simple + Tokenizer4500),,,0.8461384399539812,0.8405215604534931,0.763401670463174,0.7640685712712393,0.7608439910014654,0.7659766038938102,110594,111413,34763,33789,960.9685017869997,24.11911165899801
NN Archi01 (PREPROCESS04_nofilter + Tokenizer4500),,,0.8963408942022613,0.8969974665076215,0.8145133059229719,0.8139930272337116,0.8072875210046874,0.8218696106882389,118664,117849,28327,25719,1400.868720285005,24.291803744999925
