Method,threshold,params,ROC AUC,PR AUC,F1 score,Accuracy,Precision,Recall,TP,TN,FP,FN,Training time,Inference time
DummyClassifier (RAW + TF-IDF),,"{'random_state': [0], 'strategy': ['stratified']}",0.5011262622364469,0.4974789615876781,0.49812159593364475,0.5011443458987676,0.4980474429811807,0.49819577097026657,71931,73681,72495,72452,2.1800133819924667,0.026919160969555378
LogisticRegression (RAW + TF-IDF),,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a342e0>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34640>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a347f0>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34a30>}]",0.8782606636300078,0.8786189080431356,0.7981099242731668,0.7979549764419619,0.7926147036523473,0.8036818739048226,116038,115815,30361,28345,1104.5526706550154,0.03167860402027145
LogisticRegression (PREPROCESS01 + TF-IDF),,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a342e0>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34640>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a347f0>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34a30>}]",0.876879173488994,0.8774612795667524,0.7967713226375092,0.7964509789750103,0.7906556460302522,0.8029823455669989,115937,115479,30697,28446,1021.3067424980109,0.05102369998348877
LogisticRegression (PREPROCESS02 + TF-IDF),,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a342e0>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34640>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a347f0>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34a30>}]",0.8763276313749161,0.8763989611587885,0.7965886969687607,0.7960930482277265,0.7898069224694316,0.8034879452567131,116010,115302,30874,28373,970.868110355048,0.07438526803161949
LogisticRegression (PREPROCESS03 + TF-IDF),,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a342e0>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34640>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a347f0>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34a30>}]",0.8475496003260485,0.8406662551387911,0.7720971828886571,0.768460106209066,0.7556377765842467,0.7892895978058359,113960,109323,36853,30423,629.4333609099849,0.07678638101788238
LogisticRegression (PREPROCESS03_simple + TF-IDF),,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a342e0>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34640>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a347f0>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34a30>}]",0.8486084523613799,0.8418210169928237,0.7734394580863675,0.7697816966605749,0.7568189199758728,0.7908063968749783,114179,109488,36688,30204,645.6028223100002,0.06269092997536063
LogisticRegression (PREPROCESS04 + TF-IDF),,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a342e0>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34640>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a347f0>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34a30>}]",0.8414753052263757,0.834905141401903,0.7658419197396963,0.7622307345496095,0.7498954578944225,0.7824813170525616,112977,108496,37680,31406,612.6315444310312,0.0645392980077304
LogisticRegression (PREPROCESS04_simple + TF-IDF),,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a342e0>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34640>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a347f0>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34a30>}]",0.8427097660820362,0.8362222384582412,0.7670467831302844,0.7634181009708871,0.750965481546363,0.7838318915661816,113172,108646,37530,31211,616.9128713389509,0.05420472001424059
LogisticRegression (PREPROCESS04_nofilter + TF-IDF),,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a342e0>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34640>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a347f0>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7f29f2a34a30>}]",0.8716924547989505,0.8721672931276032,0.7915627126332502,0.7912506582139944,0.785548151230126,0.7976700858134268,115170,114735,31441,29213,984.4705711989664,0.09451075701508671
